,sumStudentPop,key1,UID,Province_State,POPESTIMATE2019,Long_,Lat,Country_Region,Combined_Key,Admin2,date,case_count,month,pct_change,ratioStudent,casesPerThousand
2626,0.0,"Crawford,Ohio",84039033,Ohio,41494.0,-82.91989099,40.85065156,US,"Crawford, Ohio, US",Crawford,2020-09-01,196,9,0.19512195121951215,0.0,4.72357449269774
26926,0.0,"Crawford,Ohio",84039033,Ohio,41494.0,-82.91989099,40.85065156,US,"Crawford, Ohio, US",Crawford,2020-10-01,256,10,0.30612244897959173,0.0,6.169566684339904
24136,0.0,"Crawford,Ohio",84039033,Ohio,41494.0,-82.91989099,40.85065156,US,"Crawford, Ohio, US",Crawford,2020-11-01,609,11,1.37890625,0.0,14.676820745167976
8208,0.0,"Darke,Ohio",84039037,Ohio,51113.0,-84.6194517,40.13412966,US,"Darke, Ohio, US",Darke,2020-07-01,236,7,0.35632183908045967,0.0,4.6172206679318375
5418,0.0,"Darke,Ohio",84039037,Ohio,51113.0,-84.6194517,40.13412966,US,"Darke, Ohio, US",Darke,2020-08-01,313,8,0.326271186440678,0.0,6.123686733316378
2628,0.0,"Darke,Ohio",84039037,Ohio,51113.0,-84.6194517,40.13412966,US,"Darke, Ohio, US",Darke,2020-09-01,622,9,0.9872204472843451,0.0,12.169115489210181
26928,0.0,"Darke,Ohio",84039037,Ohio,51113.0,-84.6194517,40.13412966,US,"Darke, Ohio, US",Darke,2020-10-01,865,10,0.39067524115755625,0.0,16.92328761763152
24138,0.0,"Darke,Ohio",84039037,Ohio,51113.0,-84.6194517,40.13412966,US,"Darke, Ohio, US",Darke,2020-11-01,1317,11,0.522543352601156,0.0,25.76643906638233
8213,0.0,"Fayette,Ohio",84039047,Ohio,28525.0,-83.4562016,39.56021306,US,"Fayette, Ohio, US",Fayette,2020-07-01,46,7,0.1499999999999999,0.0,1.6126205083260299
5423,0.0,"Fayette,Ohio",84039047,Ohio,28525.0,-83.4562016,39.56021306,US,"Fayette, Ohio, US",Fayette,2020-08-01,91,8,0.9782608695652173,0.0,3.1901840490797544
2633,0.0,"Fayette,Ohio",84039047,Ohio,28525.0,-83.4562016,39.56021306,US,"Fayette, Ohio, US",Fayette,2020-09-01,192,9,1.10989010989011,0.0,6.730937773882559
26933,0.0,"Fayette,Ohio",84039047,Ohio,28525.0,-83.4562016,39.56021306,US,"Fayette, Ohio, US",Fayette,2020-10-01,256,10,0.33333333333333326,0.0,8.974583698510079
24143,0.0,"Fayette,Ohio",84039047,Ohio,28525.0,-83.4562016,39.56021306,US,"Fayette, Ohio, US",Fayette,2020-11-01,507,11,0.98046875,0.0,17.773882559158633
8215,0.0,"Fulton,Ohio",84039051,Ohio,42126.0,-84.12571393,41.60213491,US,"Fulton, Ohio, US",Fulton,2020-07-01,57,7,0.2954545454545454,0.0,1.3530836063238856
5425,0.0,"Fulton,Ohio",84039051,Ohio,42126.0,-84.12571393,41.60213491,US,"Fulton, Ohio, US",Fulton,2020-08-01,138,8,1.4210526315789473,0.0,3.275886625836775
2635,0.0,"Fulton,Ohio",84039051,Ohio,42126.0,-84.12571393,41.60213491,US,"Fulton, Ohio, US",Fulton,2020-09-01,187,9,0.35507246376811596,0.0,4.4390637610976595
26935,0.0,"Fulton,Ohio",84039051,Ohio,42126.0,-84.12571393,41.60213491,US,"Fulton, Ohio, US",Fulton,2020-10-01,312,10,0.6684491978609626,0.0,7.406352371457057
24145,0.0,"Fulton,Ohio",84039051,Ohio,42126.0,-84.12571393,41.60213491,US,"Fulton, Ohio, US",Fulton,2020-11-01,647,11,1.073717948717949,0.0,15.358685847220244
8216,0.0,"Gallia,Ohio",84039053,Ohio,29898.0,-82.31647569,38.82708533,US,"Gallia, Ohio, US",Gallia,2020-07-01,14,7,0.75,0.0,0.46825874640444176
5426,0.0,"Gallia,Ohio",84039053,Ohio,29898.0,-82.31647569,38.82708533,US,"Gallia, Ohio, US",Gallia,2020-08-01,58,8,3.1428571428571432,0.0,1.939929092246973
2636,0.0,"Gallia,Ohio",84039053,Ohio,29898.0,-82.31647569,38.82708533,US,"Gallia, Ohio, US",Gallia,2020-09-01,147,9,1.5344827586206895,0.0,4.916716837246639
26936,0.0,"Gallia,Ohio",84039053,Ohio,29898.0,-82.31647569,38.82708533,US,"Gallia, Ohio, US",Gallia,2020-10-01,212,10,0.44217687074829937,0.0,7.090775302695833
24146,0.0,"Gallia,Ohio",84039053,Ohio,29898.0,-82.31647569,38.82708533,US,"Gallia, Ohio, US",Gallia,2020-11-01,334,11,0.5754716981132075,0.0,11.171315807077397
8219,0.0,"Guernsey,Ohio",84039059,Ohio,38875.0,-81.49248905,40.05026529,US,"Guernsey, Ohio, US",Guernsey,2020-07-01,60,7,0.6666666666666667,0.0,1.5434083601286173
5429,0.0,"Guernsey,Ohio",84039059,Ohio,38875.0,-81.49248905,40.05026529,US,"Guernsey, Ohio, US",Guernsey,2020-08-01,110,8,0.8333333333333333,0.0,2.829581993569132
2639,0.0,"Guernsey,Ohio",84039059,Ohio,38875.0,-81.49248905,40.05026529,US,"Guernsey, Ohio, US",Guernsey,2020-09-01,133,9,0.209090909090909,0.0,3.4212218649517685
26939,0.0,"Guernsey,Ohio",84039059,Ohio,38875.0,-81.49248905,40.05026529,US,"Guernsey, Ohio, US",Guernsey,2020-10-01,180,10,0.35338345864661647,0.0,4.630225080385852
24149,0.0,"Guernsey,Ohio",84039059,Ohio,38875.0,-81.49248905,40.05026529,US,"Guernsey, Ohio, US",Guernsey,2020-11-01,439,11,1.438888888888889,0.0,11.292604501607716
8223,0.0,"Harrison,Ohio",84039067,Ohio,15040.0,-81.09068544,40.29380509,US,"Harrison, Ohio, US",Harrison,2020-07-01,12,7,0.19999999999999996,0.0,0.7978723404255319
5433,0.0,"Harrison,Ohio",84039067,Ohio,15040.0,-81.09068544,40.29380509,US,"Harrison, Ohio, US",Harrison,2020-08-01,19,8,0.5833333333333333,0.0,1.2632978723404256
2643,0.0,"Harrison,Ohio",84039067,Ohio,15040.0,-81.09068544,40.29380509,US,"Harrison, Ohio, US",Harrison,2020-09-01,31,9,0.631578947368421,0.0,2.0611702127659575
26943,0.0,"Harrison,Ohio",84039067,Ohio,15040.0,-81.09068544,40.29380509,US,"Harrison, Ohio, US",Harrison,2020-10-01,68,10,1.193548387096774,0.0,4.5212765957446805
24153,0.0,"Harrison,Ohio",84039067,Ohio,15040.0,-81.09068544,40.29380509,US,"Harrison, Ohio, US",Harrison,2020-11-01,93,11,0.36764705882352944,0.0,6.183510638297872
8224,0.0,"Henry,Ohio",84039069,Ohio,27006.0,-84.06830637,41.333964200000004,US,"Henry, Ohio, US",Henry,2020-07-01,29,7,0.8125,0.0,1.0738354439754128
5434,0.0,"Henry,Ohio",84039069,Ohio,27006.0,-84.06830637,41.333964200000004,US,"Henry, Ohio, US",Henry,2020-08-01,104,8,2.586206896551724,0.0,3.850996074946308
2644,0.0,"Henry,Ohio",84039069,Ohio,27006.0,-84.06830637,41.333964200000004,US,"Henry, Ohio, US",Henry,2020-09-01,216,9,1.076923076923077,0.0,7.998222617196179
26944,0.0,"Henry,Ohio",84039069,Ohio,27006.0,-84.06830637,41.333964200000004,US,"Henry, Ohio, US",Henry,2020-10-01,346,10,0.6018518518518519,0.0,12.811967710879065
24154,0.0,"Henry,Ohio",84039069,Ohio,27006.0,-84.06830637,41.333964200000004,US,"Henry, Ohio, US",Henry,2020-11-01,584,11,0.6878612716763006,0.0,21.624824113160038
8225,0.0,"Highland,Ohio",84039071,Ohio,43161.0,-83.60331456,39.1839264,US,"Highland, Ohio, US",Highland,2020-07-01,43,7,0.72,0.0,0.9962697805889575
5435,0.0,"Highland,Ohio",84039071,Ohio,43161.0,-83.60331456,39.1839264,US,"Highland, Ohio, US",Highland,2020-08-01,121,8,1.8139534883720931,0.0,2.803456824447997
2645,0.0,"Highland,Ohio",84039071,Ohio,43161.0,-83.60331456,39.1839264,US,"Highland, Ohio, US",Highland,2020-09-01,191,9,0.578512396694215,0.0,4.425291350988161
26945,0.0,"Highland,Ohio",84039071,Ohio,43161.0,-83.60331456,39.1839264,US,"Highland, Ohio, US",Highland,2020-10-01,237,10,0.24083769633507845,0.0,5.491068325571696
24155,0.0,"Highland,Ohio",84039071,Ohio,43161.0,-83.60331456,39.1839264,US,"Highland, Ohio, US",Highland,2020-11-01,580,11,1.4472573839662446,0.0,13.438057505618499
8226,0.0,"Hocking,Ohio",84039073,Ohio,28264.0,-82.47991446,39.49537927,US,"Hocking, Ohio, US",Hocking,2020-07-01,76,7,0.10144927536231885,0.0,2.6889329181998303
5436,0.0,"Hocking,Ohio",84039073,Ohio,28264.0,-82.47991446,39.49537927,US,"Hocking, Ohio, US",Hocking,2020-08-01,106,8,0.39473684210526305,0.0,3.750353806962921
2646,0.0,"Hocking,Ohio",84039073,Ohio,28264.0,-82.47991446,39.49537927,US,"Hocking, Ohio, US",Hocking,2020-09-01,143,9,0.34905660377358494,0.0,5.059439569770733
26946,0.0,"Hocking,Ohio",84039073,Ohio,28264.0,-82.47991446,39.49537927,US,"Hocking, Ohio, US",Hocking,2020-10-01,170,10,0.18881118881118875,0.0,6.0147183696575155
24156,0.0,"Hocking,Ohio",84039073,Ohio,28264.0,-82.47991446,39.49537927,US,"Hocking, Ohio, US",Hocking,2020-11-01,249,11,0.4647058823529411,0.0,8.809793376733655
8227,0.0,"Holmes,Ohio",84039075,Ohio,43960.0,-81.92635677,40.56163713,US,"Holmes, Ohio, US",Holmes,2020-07-01,204,7,3.7441860465116283,0.0,4.640582347588717
5437,0.0,"Holmes,Ohio",84039075,Ohio,43960.0,-81.92635677,40.56163713,US,"Holmes, Ohio, US",Holmes,2020-08-01,319,8,0.5637254901960784,0.0,7.256596906278435
2647,0.0,"Holmes,Ohio",84039075,Ohio,43960.0,-81.92635677,40.56163713,US,"Holmes, Ohio, US",Holmes,2020-09-01,351,9,0.10031347962382453,0.0,7.984531392174704
26947,0.0,"Holmes,Ohio",84039075,Ohio,43960.0,-81.92635677,40.56163713,US,"Holmes, Ohio, US",Holmes,2020-10-01,405,10,0.15384615384615374,0.0,9.21292083712466
24157,0.0,"Holmes,Ohio",84039075,Ohio,43960.0,-81.92635677,40.56163713,US,"Holmes, Ohio, US",Holmes,2020-11-01,929,11,1.293827160493827,0.0,21.13284804367607
8228,0.0,"Huron,Ohio",84039077,Ohio,58266.0,-82.59867951,41.14651175,US,"Huron, Ohio, US",Huron,2020-07-01,177,7,1.9500000000000002,0.0,3.0377921944187003
5438,0.0,"Huron,Ohio",84039077,Ohio,58266.0,-82.59867951,41.14651175,US,"Huron, Ohio, US",Huron,2020-08-01,368,8,1.07909604519774,0.0,6.3158617375484845
2648,0.0,"Huron,Ohio",84039077,Ohio,58266.0,-82.59867951,41.14651175,US,"Huron, Ohio, US",Huron,2020-09-01,479,9,0.30163043478260865,0.0,8.220917859472076
26948,0.0,"Huron,Ohio",84039077,Ohio,58266.0,-82.59867951,41.14651175,US,"Huron, Ohio, US",Huron,2020-10-01,598,10,0.24843423799582465,0.0,10.263275323516288
24158,0.0,"Huron,Ohio",84039077,Ohio,58266.0,-82.59867951,41.14651175,US,"Huron, Ohio, US",Huron,2020-11-01,773,11,0.29264214046822734,0.0,13.266742182404831
8229,0.0,"Jackson,Ohio",84039079,Ohio,32413.0,-82.61818559999998,39.01914254,US,"Jackson, Ohio, US",Jackson,2020-07-01,17,7,0.2142857142857142,0.0,0.524480918150125
5439,0.0,"Jackson,Ohio",84039079,Ohio,32413.0,-82.61818559999998,39.01914254,US,"Jackson, Ohio, US",Jackson,2020-08-01,65,8,2.823529411764706,0.0,2.00536821645636
2649,0.0,"Jackson,Ohio",84039079,Ohio,32413.0,-82.61818559999998,39.01914254,US,"Jackson, Ohio, US",Jackson,2020-09-01,173,9,1.6615384615384614,0.0,5.33736463764539
26949,0.0,"Jackson,Ohio",84039079,Ohio,32413.0,-82.61818559999998,39.01914254,US,"Jackson, Ohio, US",Jackson,2020-10-01,278,10,0.6069364161849711,0.0,8.576805602690278
24159,0.0,"Jackson,Ohio",84039079,Ohio,32413.0,-82.61818559999998,39.01914254,US,"Jackson, Ohio, US",Jackson,2020-11-01,539,11,0.9388489208633093,0.0,16.62913028723043
8235,0.0,"Logan,Ohio",84039091,Ohio,45672.0,-83.76784341,40.38996525,US,"Logan, Ohio, US",Logan,2020-07-01,58,7,0.4871794871794872,0.0,1.2699246803293045
5445,0.0,"Logan,Ohio",84039091,Ohio,45672.0,-83.76784341,40.38996525,US,"Logan, Ohio, US",Logan,2020-08-01,116,8,1.0,0.0,2.539849360658609
2655,0.0,"Logan,Ohio",84039091,Ohio,45672.0,-83.76784341,40.38996525,US,"Logan, Ohio, US",Logan,2020-09-01,242,9,1.0862068965517242,0.0,5.298651252408478
26955,0.0,"Logan,Ohio",84039091,Ohio,45672.0,-83.76784341,40.38996525,US,"Logan, Ohio, US",Logan,2020-10-01,321,10,0.32644628099173545,0.0,7.028376248029427
24165,0.0,"Logan,Ohio",84039091,Ohio,45672.0,-83.76784341,40.38996525,US,"Logan, Ohio, US",Logan,2020-11-01,530,11,0.6510903426791277,0.0,11.60448414783675
8238,0.0,"Madison,Ohio",84039097,Ohio,44731.0,-83.40178317,39.89381073,US,"Madison, Ohio, US",Madison,2020-07-01,188,7,0.2129032258064516,0.0,4.202901790704433
5448,0.0,"Madison,Ohio",84039097,Ohio,44731.0,-83.40178317,39.89381073,US,"Madison, Ohio, US",Madison,2020-08-01,322,8,0.7127659574468086,0.0,7.198587109610784
